Order_ID,Date,Month,Year,Customer_ID,Product_ID,Region_ID,Sales,Profit,Product_Name,Category,Sub_Category,Customer_Name,Segment,Region_Name
O0001,2023-05-04,5,2023,C005,P032,R2,269.6,78.3,Keyboard,Accessories,Input Devices,Rohan,Home Office,South
O0002,2024-08-25,8,2024,C144,P028,R3,2858.34,486.25,Keyboard,Accessories,Input Devices,Rohan,Home Office,East
O0003,2023-07-30,7,2023,C067,P044,R1,2346.05,205.58,Monitor,Technology,Displays,Vivaan,Home Office,North
O0004,2024-01-11,1,2024,C016,P015,R3,2322.14,594.36,Tablet,Technology,Tablets,Aditya,Consumer,East
O0005,2023-07-12,7,2023,C098,P019,R2,4732.98,741.49,Keyboard,Accessories,Input Devices,Rohan,Consumer,South
O0006,2024-10-24,10,2024,C102,P078,R2,901.13,59.52,Headphones,Accessories,Audio,Aarav,Corporate,South
O0007,2023-05-15,5,2023,C099,P065,R3,1754.28,315.89,Tablet,Technology,Tablets,Aarav,Consumer,East
O0008,2024-12-23,12,2024,C015,P057,R2,4811.44,1019.19,Keyboard,Accessories,Input Devices,Meera,Consumer,South
O0009,2024-11-27,11,2024,C073,P100,R3,366.06,53.55,Phone,Technology,Mobiles,Vivaan,Home Office,East
O0010,2023-10-12,10,2023,C118,P019,R2,1205.91,348.59,Headphones,Accessories,Audio,Diya,Home Office,South
O0011,2023-05-12,5,2023,C020,P049,R3,288.5,39.57,Headphones,Accessories,Audio,Aarav,Consumer,East
O0012,2024-04-26,4,2024,C059,P051,R1,562.83,60.46,Laptop,Technology,Computers,Diya,Corporate,North
O0013,2024-01-18,1,2024,C056,P030,R1,499.8,85.87,Phone,Technology,Mobiles,Aditya,Corporate,North
O0014,2023-08-20,8,2023,C152,P030,R4,4271.48,602.57,Keyboard,Accessories,Input Devices,Diya,Consumer,West
O0015,2024-03-22,3,2024,C138,P076,R2,2397.62,615.83,Laptop,Technology,Computers,Aditya,Corporate,South
O0016,2024-01-02,1,2024,C075,P041,R3,2138.95,116.74,Keyboard,Accessories,Input Devices,Diya,Corporate,East
O0017,2024-05-01,5,2024,C110,P031,R1,4354.35,1012.73,Headphones,Accessories,Audio,Rohan,Home Office,North
